category,message,uz-UZ,oz-UZ,ru-RU,en-US,kk-UZ,tg-TG,kz-KZ,tm-TM,kg-KG
app,"Academic record for '{subject}' subject does not exist.","Talabaning '{subject}' fanidan bali kiritilmagan","Талабанинг '{subject}' фанидан бали киритилмаган","Оценка по предмету '{subject}' отсутствует","Academic record for course '{subject}' does not exist.",,,,,
app,"Academic Register Date","Qayd sanasi","Қайд санаси","Дата регистрации","Register Date",,,,,
app,"Academic Register Number","Qayd raqami","Қайд рақами","Номер регистрации","Register Number",,,,,
app,"Academic Status","Akademik daraja","Академик даража","Акад. степень","Academic Status",,,,,
app,Accept,Tasdiq,Тасдиқ,Принять,,,,,,
app,Accepted,Tasdiq,Тасдиқ,Принять,,,,,,
app,"Accepted Date","Qabul sanasi","Қабул санаси","Дата приема",,,,,,
app,"Accept For Change",,,,,,,,,
app,"Accept For Rework",,,,,,,,,
app,Access,Ruxsat,Рухсат,Допуск,,,,,,
app,"Access Token","Bog'lanish kaliti","Боғланиш калити","Ключ доступа",,,,,,
app,Accommodation,"Yashash joyi","Яшаш жойи",Местожительство,,,,,,
app,"Account `{name}` updated successfully.","`{name}` qayd ma'lumoti muvaffaqiyatli o'zgartirildi","`{name}` қайд маълумоти муваффақиятли ўзгартирилди","Учетная запись `{name}` успешно изменен",,,,,,
app,Accreditation,Akkreditasiya,Аккредитация,Аккредитация,,,,,,
app,"Accreditation Accepted","Akkreditasiya tasdiqlandi","Аккредитация тасдиқланди","Аккредитация одобрена",,,,,,
app,"Accreditation Info","Akkreditasiya ma'lumotlari","Аккредитация маълумотлари","Информация об аккредитации","Accreditation Info",,,,,
app,"Accumulated Points","To'plagan ball","Тўплаган балл","Набранный балл","Accumulated Points",,,,,
app,Acload,Yuklama,Юклама,Нагрузка,Acload,,,,,
app,Acload/credit,Yuklama/Kredit,Юклама/Кредит,Нагрузка/Кредит,,,,,,
app,Action,Amal,Амал,Действия,Action,,,,,
app,Active,Faol,Фаол,Актив,,,,,,
app,Actual,Aktual,,,,,,,,
app,Add,Qo'shish,Қўшиш,Добавить,,,,,,
app,"Add Academic Information",Qo'shish,Қўшиш,Добавить,ADD,,,,,
app,"Add comment to the image","Rasmga izoh qo'shish","Расмга изоҳ қўшиш","Добавить комментарий к изображению",,,,,,
app,"Add Contract Manual",Kiritish,Киритиш,Ввод,"Add Contract",,,,,
app,"Add Employment","Ishga joylashish","Ишга жойлашиш",Трудоустройства,"Add Employment",,,,,
app,"Add GPA",Qo'shish,Қўшиш,Добавить,"Add GPA",,,,,
app,"Add Grade",Kiritish,Киритиш,Ввод,,,,,,
app,"Add Group","Guruh qo'shish","Гуруҳ қўшиш","Добавить группы",,,,,,
app,"Add Invoice",Schet-faktura,Счет-фактура,Счет-фактура,"Add Invoice",,,,,
app,Additional,Qo'shimcha,Қўшимча,Дополнительно,,,,,,
app,"Additional Info","Qo'shimcha ma'lumotlar (Qo'shma qiplom ma'lumoti)","Қўшимча маълумотлар (Қўшма диплом маълумоти)","Доп. информация (Инф. о совместном дипломе)","Additional information (Joint diploma information)",,,,,
app,"Additional information","Qo'shimcha ma'lumotlar","Қўшимча маълумотлар","Дополнительные информации","Additional Information",,,,,
app,"Add Methodical Publication Manually",Kiritish,Киритиш,"Ручной ввод",,,,,,
app,"Add New Task","Yangi topshiriq yaratish","Янги топшириқ яратиш","Создание нового задания",,,,,,
app,"Add Payment","To'lovni kiritish","Тўловни киритиш","Ввод платежа","Add Payment",,,,,
app,"Add Project Member","Ijrochi qo'shish","Ижрочи қўшиш","Добавить исполнителя",,,,,,
app,"Add Project Meta","Loyihani to'ldirish","Лойиҳани тўлдириш","Заполнение проекта",,,,,,
app,"Add Property Publication Manually",Kiritish,Киритиш,"Ручной ввод",,,,,,
app,"Add Ptt",Qo'shish,Қўшиш,Добавить,ADD,,,,,
app,"Add Rating Distribution","Nazoratlarni kiritish","Назорат турини киритиш","Добавить вид контроля","Add Rating Distribution",,,,,
app,"Add Resource","Resurs qo'shish","Ресурс қўшиш","Добавить ресурс",,,,,,
app,Address,Shahar,Шаҳар,Город,City,,,,,
app,"Address Information","Doimiy manzil ma'lumotlari","Доимий манзил маълумотлари","Информация о постоянном адресе","Permanent address information",,,,,
app,"Add Scholarship Month","Stipendiya qo'shish","Стипендия қўшиш","Добавить стипендию","Add Scholarship",,,,,
app,"Add Scientifical Publication Manually",Kiritish,Киритиш,"Ручной ввод",,,,,,
app,"Add Selected",Qo'shish,Қўшиш,Добавить,,,,,,
app,"Add Test","Test qo'shish","Тест қўшиш","Добавить тест",,,,,,
app,"Add Time Distribution","Mashg'ulotni kiritish","Машғулот турини киритиш","Добавить вид занятия","Add Time Distribution",,,,,
app,"Add Transcript",Qo'shish,Қўшиш,Добавить,"Add Transcript",,,,,
app,Admin,Admin,Админ,Админ,,,,,,
app,Administrator,Administrator,Администратор,Администратор,,,,,,
app,"Administrator `{name}` created successfully.","Administrator `{name}` muvaffaqiyatli yaratildi","Администратор `{name}` муваффақиятли яратилди","Администратор `{name}` создан успешно",,,,,,
app,"Administrator `{name}` deleted successfully.","Administrator `{name}` muvaffaqiyatli o'chirildi","Администратор `{name}` муваффақиятли ўчирилди","Администратор `{name}` успешно удален",,,,,,
app,"Administrator `{name}` updated successfully.","Administrator `{name}` muvaffaqiyatli o'zgartirildi","Администратор `{name}` муваффақиятли ўзгартирилди","Администратор `{name}` успешно обновлен",,,,,,
app,"Administrator Roles","Administrator Rollari","Администратор Роллари","Роли Администратора",,,,,,
app,Administrators,Administratorlar,Администраторлар,Администраторы,,,,,,
app,"Admin Name","Admin nomi","Админ номи","Имя админа","Admin Name",,,,,
app,"Admission Information","Qabul ma'lumotlari","Қабул маълумотлари","Информация о приеме","Admission Information",,,,,
app,"Admission Quota","Qabul kvotasi","Қабул квотаси","Приемная квота",,,,,,
app,"Admission quota `{id}` created successfully.","`{id}` raqamli qabul kvotasi muvaffaqiyatli yaratildi","`{id}` рақамли қабул квотаси муваффақиятли яратилди","Квота приема `{id}` успешно создана",,,,,,
app,"Admission quota `{id}` deleted successfully","Qabul kvotasi `{id}` muvaffaqiyatli o'chirildi","Қабул квотаси `{id}` муваффақиятли ўчирилди","Квота приема `{id}` успешно удалена","Admission quota `{id}` deleted successfully",,,,,
app,"Admission quota `{id}` updated successfully.","Qabul kvotasi `{id}` muvaffaqiyatli o'zgartirildi","Қабул квотаси `{id}` муваффақиятли ўзгартирилди","Квота приема `{id}` успешно обновлена","Admission quota `{id}` updated successfully.",,,,,
app,"Advisor Name","Maslahatchi F.I.SH.","Маслаҳатчи Ф.И.Ш.","Ф.И.О. консультанта",,,,,,
app,"Advisor Work","Maslahatchi ish joyi","Маслаҳатчи иш жойи","Место работы консультанта",,,,,,
app,"Akademik ta’til","Akademik ta’til","Академик таътил","Академический отпуск","Academic leave",,,,,
app,"Akademik ta‘til berish sabablari","Akademik ta‘til berish sabablari","Академик таътил бериш сабаблари","Причины академического отпуска",,,,,,
app,"Akademik ta'til sababini tanlang","Akademik ta'til sababini tanlang","Академик таътил сабабини танланг","Выберите причину академ. отпуска",,,,,,
app,"Aktiv seanslar mavjud emas","Aktiv seanslar mavjud emas","Актив сеанслар мавжуд эмас","Активные сеансы недоступны","Active sessions are not available",,,,,
app,"AKT qurilmalari turlari","AKT qurilmalari turlari","АКТ қурилмалари турлари","Типы устройств ИКТ",,,,,,
app,"AKT qurilmalari turlarining nomlari","AKT qurilmalari turlarining nomlari","АКТ қурилмалари турларининг номлари","Названия типов устройств ИКТ",,,,,,
app,"All Additional","Jami qo'shimcha yuklama","Жами қўшимча юклама","Жами қўшимча юклама",,,,,,
app,"All Main","Jami asosiy yuklama","Жами асосий юклама","Жами асосий юклама",,,,,,
app,"All Messages","Barcha xabarlar","Барча хабарлар","Все сообщения",,,,,,
app,"All semester not accepted for this curriculum `{name}`.","`{name}` o'quv rejasining barcha semestrlari mahkamlanmagan","`{name}` ўқув режасининг барча семестрлари маҳкамланмаган","Не все семестры учебного плана `{name}` фиксированы",,,,,,
app,"All Student","Jami talaba","Жами талаба","Всего студенты",,,,,,
app,"All Summary",Bitiruvchilar,Битирувчилар,Выпускников,Graduators,,,,,
app,"Amount of minimum wage",Summa,Сумма,Сумма,,,,,,
app,"Amount of Scholarship","Stipendiya qiymati","Стипендия қиймати","Сумма стипендии",,,,,,
app,"Amount of Scholarship [{code}] created successfully","Stipendiya turi [{code}] muvaffaqiyatli yaratildi","Стипендия тури [{code}] муваффақиятли яратилди","Вид стипендии [{code}] успешно создан",,,,,,
app,"Amount of Scholarship [{code}] is deleted successfully","Stipendiya turi [{code}] muvaffaqiyatli o'chirildi","Стипендия тури [{code}] муваффақиятли ўчирилди","Вид стипендии [{code}] успешно удален",,,,,,
app,"Amount of Scholarship [{code}] updated successfully","Stipendiya turi [{code}] muvaffaqiyatli o'zgartirildi","Стипендия тури [{code}] муваффақиятли ўзгартирилди","Вид стипендии [{code}] успешно обновлен",,,,,,
app,"An appropriate coefficient has not been determined for this specialty","Ushbu mutaxassislik uchun shartnoma koeffisientini aniqlab bo'lmadi","Ушбу мутахассислик учун шартнома коэффициентини аниқлаб бўлмади","Коэффициент контракта для данной специальности не определен","Contract Coefficient has not been determined for this specialty",,,,,
app,"An appropriate summa has not been determined for this specialty","Ushbu mutaxassislik uchun shartnomaning bazaviy summasi kiritilmagan","Ушбу мутахассислик учун шартноманинг базавий суммаси киритилмаган","Базовая сумма контракта не определена по данной специальности","Base sum of the contract is not determined for this specialty",,,,,
app,"An Increased Contract Coefficient has not been determined for this specialty","Ushbu mutaxassislik uchun oshirilgan shartnoma koeffisientini aniqlab bo'lmadi","Ушбу мутахассислик учун оширилган шартнома коэффициентини аниқлаб бўлмади","Коэффициент повышенного контракта для данной специальности не определен","An Increased Contract Coefficient has not been determined for this specialty",,,,,
app,Answer,Javob,Жавоб,Ответ,,,,,,
app,Answers,Javoblar,Жавоблар,Ответы,,,,,,
app,Apply,Saqlash,Сақлаш,Применять,Apply,,,,,
app,"Apply Date",Sana,Сана,Дата,,,,,,
app,"Apply Decree",Biriktirish,Бириктириш,Закрепить,"Apply Order",,,,,
app,"Apply to Decree",Biriktirish,Бириктириш,Закрепить,"Apply to Decree",,,,,
app,"Approved Date","Tasdiqlangan sanasi","Тасдиқланган санаси","Дата утверждения",,,,,,
app,"App Version","Dastur versiyasi","Дастур версияси","Версия программы",,,,,,
app,Archive,"Akademik arxiv","Академик архив","Академический архив",,,,,,
app,"Archive Academic Information","Akad. ma'lumotnoma","Акад. маълумотнома","Академическая справка","Academic Information",,,,,
app,"Archive Academic Information Data","Akad. ma'lumotnoma","Акад. маълумотнома","Академ. справка","Academic Transcript",,,,,
app,"Archive Academic Information data edit","Akademik ma'lumotnomani o'zgartirish","Академик маълумотномани ўзгартириш","Изменить академическую справку","Academic Information Edit",,,,,
app,"Archive Academic Information Data Edit","Akademik ma'lumotnoma qo'shish","Академик маълумотнома қўшиш","Добавить академическую справку","Academic Information Edit",,,,,
app,"Archive Academic Information Edit","Akademik axborotlarni o'zgartirish","Академик ахборотларни ўзгартириш","Редактирование академической информации","Academic Information Edit",,,,,
app,"Archive Academic Record","Akademik yozuv","Академик ёзув","Академическая запись",,,,,,
app,"Archive Academic Record View","Baholarni ko'rish","Баҳоларни кўриш","Просмотр оценок",,,,,,
app,"Archive Academic Sheet","O'quv varaqa","Ўқув варақа","Учебный лист","Academic Sheet",,,,,
app,"Archive Accreditation",Akkreditasiya,Аккредитация,Аккредитация,,,,,,
app,"Archive Accreditation View","Akkreditasiyani ko'rish","Аккредитацияни кўриш","Просмотр аккредитации",,,,,,
app,"Archive Batch Rate","Diplom ballari","Диплом баллари","Оценки диплома","Diploma marks",,,,,
app,"Archive Certificate Committee","DAK ro'yxati","ДАК рўйхати","Список ГЭК",,,,,,
app,"Archive Certificate Committee Edit","DAK ro'yxatini tahrirlash","ДАК рўйхатини таҳрирлаш","Редактирование списка ГЭК",,,,,,
app,"Archive Certificate Committee Member","DAK a'zosi","ДАК аъзоси","Член ГЭК",,,,,,
app,"Archive Diploma","Diplom berish","Диплом бериш","Выдача диплома",,,,,,
app,"Archive Diploma Accept","Diplom tasdiqlandi","Диплом тасдиқланди","Диплом утвержден","Diploma Accepted",,,,,
app,"Archive Diploma Application Print","Ilovani chop etish","Иловани чоп этиш","Печать приложение","Statement Print",,,,,
app,"Archive Diploma Blank","Diplom blanki","Диплом бланки","Бланки диплома","Diploma Blank",,,,,
app,"Archive Diploma Delete",O'chirish,Ўчириш,Удалить,,,,,,
app,"Archive Diploma Edit","Diplomni tahrirlash","Дипломни таҳрирлаш","Редактирование диплома","Diploma Edit",,,,,
app,"Archive Diploma List","Diplomlar ro'yxati","Дипломлар рўйхати","Список дипломов","Diploma List",,,,,
app,"Archive Diploma Print","Diplomni chop etish","Дипломни чоп этиш","Печать диплом","Diploma Print",,,,,
app,"Archive Employment","Ishga joylashish","Ишга жойлашиш",Трудоустройство,,,,,,
app,"Archive Employment Delete",O'chirish,Ўчириш,Удалить,,,,,,
app,"Archive Employment Edit","Ish joyini qo'shish","Иш жойини қўшиш","Добавить трудоустройству","Add Employment",,,,,
app,"Archive Graduate Work","BMI va MD mavzulari","БМИ ва МД мавзулари","Тематики ВКР и МД",,,,,,
app,"Archive Graduate Work Edit","BMI va MD mavzularini tahrirlash","БМИ ва МД мавзуларини таҳрирлаш","Редактирование темы ВКР и МД",,,,,,
app,"Archive Reference",Ma'lumotnomalar,Маълумотномалар,Справки,References,,,,,
app,"Archive To Record","Bahoni arxivga o'tkazish","Баҳони архивга ўтказиш","Перенес оценку в архив",,,,,,
app,"Archive Transcript",Transkript,Транскрипт,Транскрипт,Transcript,,,,,
app,"Archive Transcript Edit","Transkript yaratish","Транскрипт яратиш","Создание транскрипта","Transcript Edit",,,,,
app,"Are your sure upload all translations?","Haqiqatan barcha tarjimalarni yuklamoqchimisiz?","Ҳақиқатан барча таржималарни юкламоқчимисиз","Вы действительно хотите загрузить все переводы?",,,,,,
app,"Are your sure upload all Uzasbo Id?","Barcha talabalarning UzASBO kodlarini yuklashni istaysizmi?","Барча талабаларнинг УзАСБО кодларини юклашни истайсизми?","Вы уверены, что загрузите УзАСБО коды всех студентов?","Are your sure upload all Uzasbo ID of Students?",,,,,
app,"Are you sure delete all messages?","Haqiqatan barcha xabarlarni o'chirmoqchimisiz?","Ҳақиқатан барча хабарларни ўчирмоқчимисиз?","Вы действительно хотите удалить все сообщения?",,,,,,
app,"Are you sure delete selected messages?","Haqiqatan tanlangan xabarlarni o‘chirmoqchimisiz?","Ҳақиқатан танланган хабарларни ўчирмоқчимисиз?","Вы действительно хотите удалить выбранные сообщения?",,,,,,
app,"Are you sure to apply selected decree to {count} students?","Tanlangan {count} ta talabani belgilangan buyruqqa biriktirishni istaysizmi?","Танланган {count} та талабани буйруққа бириктиришни истайсизми?","Вы хотите закрепить {count} студента(ов) к выбранному приказу?","Are you sure to apply selected decree to {count} students?",,,,,
app,"Are you sure to apply the document to {count} attendance?","{count} ta qoldirilgan dars holatini o'zgartirish va asosini yuklashni istaysizmi?","{count} та қолдирилган дарс ҳолатини ўзгартириш ва асосини юклашни истайсизми?","Вы хотите изменить тип пропуска и загрузить основание для {count} пропущенных занятий?","Are you sure to change status of attendance and apply the document for {count} absences?",,,,,
app,"Are you sure to calculate GPA for {count} students?","{count} nafar talabaning GPA balini hisoblashni istaysizmi?","{count} нафар талабанинг GPA балини ҳисоблашни истайсизми?","Вы уверены, чтобы вычислить GPA для {count} студентов?",,,,,,
app,"Are you sure to clean items?","Haqiqatan elementlarni tozalamoqchimisiz?","Ҳақиқатан элементларни тозаламоқчимисиз?","Вы действительно хотите очистить элементов?",,,,,,
app,"Are you sure to delete?","Haqiqatan o‘chirmoqchimisiz?","Ҳақиқатан ўчирмоқчимисиз?","Вы действительно хотите удалить?",,,,,,
app,"Are you sure to delete student","Siz haqiqatda talabani o'chirishni istaysizmi","Сиз ҳақиқатда талабани ўчиришни истайсизми","Вы уверены, что хотите удалить студента",,,,,,
app,"Are you sure to expel {count} students?","Haqiqatdan {count} ta talabani kursdan qoldirishni istaysizmi?","Ҳақиқатдан {count} та талабани курсдан қолдиришни истайсизми?","Вы действительно хотите исключить {count} студентов из курса",,,,,,
app,"Are you sure to expulsion {count} students from the university?","Siz haqiqatdan {count} nafar talabani chetlashtirishni istaysizmi?","Сиз ҳақиқатдан {count} нафар талабани четлаштиришни истайсизми?","Вы уверены в отчислении {count} студентов из вуза?","Are you sure to expulsion {count} students from the university?",,,,,
app,"Are you sure to reset password","Parolni bekor qilishga ishonchingiz komilmi","Паролни бекор қилишга ишончингиз комилми","Вы уверены, что сбросите пароль",,,,,,
app,"Are you sure to restore?","Haqiqatan tiklamoqchimisiz?","Ҳақиқатан тикламоқчимисиз?","Вы действительно хотите восстановить?",,,,,,
app,"Are you sure to restore the student?","Haqiqatdan talabani tiklashni istaysizmi?","Ҳақиқатдан талабалани тиклашни истайсизми?","Вы действительно хотите восстановить студента?","Are you sure to readmit the student?",,,,,
app,"Are you sure to transfer {count} students into {group}?","Haqiqatdan {count} nafar talabani {group} guruhiga o'tkazishni istaysizmi?","Ҳақиқатдан {count} нафар талабани {group} гуруҳига ўтказишни истайсизми?","Вы действительно хотите перевести {count} студента(ов) в группу {group}?","Are you sure to transfer {count} students into {group}?",,,,,
app,"Are you sure to transfer {count} students into {level}?","Belgilangan {count} ta talabani {level} kursga o‘tkazishni istaysizmi?","Белгиланган {count} та талабани {level} курсга ўтказишни истайсизми?","Вы уверены, чтобы перевести {count} студентов на {level} курс?",,,,,,
app,"Are you sure to transfer {count} students to {group} group?","Haqiqatdan {count} nafar talabani {group} guruhiga o'tkazishni istaysizmi?","Ҳақиқатдан {count} нафар талабани {group} гуруҳига ўтказишни истайсизми?","Вы действительно хотите перевести {count} студента(ов) в группу {group}?","Are you sure to transfer {count} students to {group} group?",,,,,
app,"Are you sure to transliterate all messages?","Haqiqatan barcha xabarlarni transliteratsiya qilmoqchimisiz?","Ҳақиқатан барча хабарларни транслитерация қилмоқчимисиз?","Вы действительно хотите транслитерировать все сообщения?",,,,,,
app,"Are you sure you are perform this action?","Bitiruvchining diplomi yoki uning ilovasini qayta shakllantirishni istaysizmi?","Битирувчининг дипломи ёки унинг иловасини қайта шакллантиришни ситайсизми?","Вы хотите заново формировать диплома или приложения к нему выпускника?","Do you want to re-form the diploma or supplement for graduate?",,,,,
app,"Are you sure you are re-sync diploma blanks?","Diplom blanklarini qayta sinxronizatsiya qilishni istaysizmi?","Диплом бланкларини қайта синхронизация қилишни истайсизми?","Вы уверены, что повторно синхронизируете бланки дипломов?","Are you sure you are re-sync diploma blanks?",,,,,
app,"Are you sure you want to delete this student?","Talabani o'chirishni istaysizmi?
Agar talabani o'chirsangiz u bilan bog'liq barcha o'quv ma'lumotlari ham tizimdan o'chiriladi","Талабани ўчиришни истайсизми?
Агар талабани ўчирсангиз у билан боғлиқ барча ўқув маълумотлари ҳам тизимдан ўчирилади.","Хотите удалить данного студента?
Если вы удалите студента, вся информация об обучении, связанная с ним, также будет удалена из системы.","Do you want to delete this student?
If you delete a student, all training information associated with that student will also be deleted from the system",,,,,
app,"A scholarship has been assigned for this month","Ushbu oy uchun stipendiya belgilangan","Ушбу ой учун стипендия белгиланган","На этот месяц назначена стипендия","A scholarship has been assigned for this month",,,,,
app,"Asosiy ma'lumotlari","Asosiy ma’lumotlar","Асосий маълумотлар","Основные данные",,,,,,
app,"Asoslovchi fayl","Asos fayli","Асос файли","Файл основание","Document file",,,,,
app,"Asos: {university} rektorining {date} sanadagi {number} sonli buyrug'i","Asos: {university} ning {date} sanadagi {number} sonli buyrug'i","Асос: {university} нинг {date} санадаги {number} сонли буйруғи","Основание: Приказ {university} от {date} № {number}","Document: Order of {university} from {date} № {number}",,,,,
app,Assign,Belgilash,Белгилаш,Назначить,,,,,,
app,Assignment,O'tkazish,Ўтказиш,Назначение,,,,,,
app,at_semester,"Semestr fani","Семестр фани",Аудиторный,,,,,,
app,"At Semester","Semestr fani","Семестр фани",Аудиторный,,,,,,
app,"Attempt Count","Urinishlar soni","Уринишлар сони","Кол-во попыток",,,,,,
app,Attempts,Urinishlar,Уринишлар,Попытки,,,,,,
app,"{attempt} ta urinish","{attempt} ta urinish","{attempt} та уриниш","{attempt} попыток",,,,,,
app,Attendance,Davomat,Давомат,Посещаемость,,,,,,
app,"Attendance Activity","Davomat statusi","Давомат статуси","Статус пропусков","Attendance status",,,,,
app,"Attendance activity updated for {count} students","Talabaning {count} ta qoldirilgan dars holati o'zgartirildi","Талабанинг {count} та қолдирилган дарс ҳолати ўзгартирилди","Статус {count} пропущенных занятий студента успешно изменен","Attendance status of {count} absences are successfully changed?",,,,,
app,"Attendance Attendance Journal","Davomat jurnali","Давомат журнали","Журнал посещаемости",,,,,,
app,"Attendance Attendance Setting","Davomat choralari","Давомат чоралари","Меры по посещаемости",,,,,,
app,"Attendance By Subjects","Fanlar davomati","Фанлар давомати","Пропуски по предметам",,,,,,
app,"Attendance Change Attendance","Davomatni o'zgartirish","Давоматни ўзгартириш","Изменение пропуски",,,,,,
app,"Attendance control checked.","Davomat nazorati amalga oshirilgan","Давомат назорати амалга оширилган","Контроль посещаемости выполнен","Attendance control checked",,,,,
app,"Attendance Control Setting","Davomat kiritishni cheklash","Давомат киритишни чеклаш","Ограничить ввод посещаемости","Attendance Control Setting",,,,,
app,"Attendance Journal","Davomat jurnali","Давомат журнали","Журнал посещаемости",,,,,,
app,"Attendance Lessons","Darslar monitoringi","Дарслар мониторинги","Мониторинг занятий","Lessons Monitoring",,,,,
app,"Attendance of Subject Group","Guruh davomati","Гуруҳ давомати","Посещаемость группы",,,,,,
app,"Attendance Overall","Statistik davomat","Статистик давомат","Статистика пропусков",,,,,,
app,"Attendance Report","Davomat hisoboti","Давомат ҳисоботи","Отчет успеваемости","Attendance Report",,,,,
app,"Attendance Setting","Chora turi","Чора тури","Вид наказания",,,,,,
app,"Attendance `{subject}` for `{group}` edited successfully.","`{group}` guruhning `{subject}` fani boyicha davomati muvaffaqiyatli o'zgartirildi","`{group}` гуруҳнинг `{subject}` фани бўйича давомати муваффақиятли ўзгартирилди","Посещаемость группы `{group}` по `{subject}` успешно изменена",,,,,,
app,"Attendance`{subject}` for `{group}` edited successfully.","`{group}` guruhning `{subject}` fani boyicha davomati muvaffaqiyatli o'zgartirildi","`{group}` гуруҳнинг `{subject}` фани бўйича давомати муваффақиятли ўзгартирилди","Посещаемость группы `{group}` по `{subject}` успешно изменена",,,,,,
app,"{attribute} must be greater than ""0"".","{attribute} ning qiymati ""0"" dan katta bo'lishi kerak","{attribute} нинг қиймати ""0"" дан катта бўлиши керак","{attribute} должен быть больше ""0""",,,,,,
app,Auditorium,Auditoriya,Аудитория,Аудитория,,,,,,
app,"Auditorium [{code}] created successfully","Auditoriya [{code}] muvaffaqiyatli yaratildi","аудитория [{code}] муваффақиятли яратилди","Аудитория [{code}] успешна создана",,,,,,
app,"Auditorium [{code}] deleted successfully","Auditoriya [{code}] muvaffaqiyatli o‘chirildi","Аудитория [{code}] муваффақиятли ўчирилди","Аудитория [{code}] успешно удалена",,,,,,
app,"Auditorium [{code}] updated successfully","[{code}] auditoriya muvaffaqiyatli o‘zgartirildi","[{code}] аудитория муваффақиятли ўзгартирилди","Аудитория [{code}] успешно изменена",,,,,,
app,"Auditorium Type","Auditoriya turi","Аудитория тури","Тип аудитории",,,,,,
app,"Auditoriya: {name}","Auditoriya: {name}","Аудитория: {name}","Аудитория: {name}",,,,,,
app,Authenticate,Autentifikatsiya,Аутентификация,Аутентификация,,,,,,
app,"Authenticate to HEMIS system","HEMIS tizimi bilan autentifikatsiya","HEMIS тизими билан аутентификация","Аутентификация с системой HEMIS",,,,,,
app,"Authentication to HEMIS performed successfully","HEMIS tizimi bilan autentifikatsiya muvaffaqiyatli bajarildi","HEMIS тизими билан аутентификация муваффақиятли бажарилди","Аутентификация с системой HEMIS успешно выполнена",,,,,,
